PRDUCT,ENTRPS,RTRVL_RESN,ENFRC_YN,RTRVL_CMMND_DT,RECALL_COMMAND_DATE,ITEM_SEQ,BIZRNO,STD_CD,MAPPED_ITEM_SEQ
"1.마데바텔넥치약, 2.덴탈힐링프로폴치약, 3.프로폴리브이아이피홍삼향진치약, 4.닥터하루오프리미엄치약","우리생활건강","품질부적합 우려(덴탈힐링프로폴치약)",N,20260515000000,20260420,202007244,6132694871,"",
"리버만로라부스트액(L-아스파르트산-L-오르니틴)","동아제약(주)","안정성시험 일부항목(성상) 기준 일탈로 인한 영업자 회수",N,20260416000000,20260415,201908485,2048640118,"8806265014804,8806265014811,8806265014828,8806265014835",
"농림자소엽","(주)농림생약","순도시험 1) 이물 가) 줄기",Y,20260420000000,20260410,200711240,3128137170,"8800616010903,8800616010910,8800616010927,8800616010934",
"현진단삼","(주)현진제약","정량법(살비아놀산 B)",Y,20260420000000,20260410,200504654,2048189192,"8800648003102,8800648003119,8800648003126,8800648003133,8800648003140,8800648003157",
"구미포비스왑스틱(포비돈요오드)(수출명:포비딕)","구미제약(주)","이물 혼입으로 인한 영업자회수",N,"",20260410,200302817,1378173459,"8806804000909,8806804000916,8806804000923,8806804000930",200302817
"이트라펜정","(주)화이트생명과학","불순물(N-nitroso-desmethyl-tramadol) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,20260706000000,20260406,201309487,2208843940,"8806252002203,8806252002210,8806252002227",
"평위천프라임액","광동제약(주)","카톤 포장 오류로 인한 영업자회수",N,20260427000000,20260406,201906489,1138108888,"8806418068104,8806418068111",201906489
"제이리브현탁액(L-류신,L-발린,L-이소류신)","제이더블유중외제약(주)","의약품 동등성 재평가 결과(유용성 미인정)에 따른 영업자 회수",N,20260407000000,20260403,201507284,1188102477,"8806449140602,8806449140619,8806449140626",
"엔시트라정(트라마돌염산염,아세트아미노펜)","한림제약(주)","불순물(N-nitroso-desmethyl-tramadol) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,20260421000000,20260402,200707223,1358102638,"8806453011806,8806453011813,8806453011820,8806453011837",
"부광미다졸람주사","부광약품(주)","2차 포장 표시 오기에 따른 영업자 회수",N,20260430000000,20260402,200109947,1188100450,"8806422006901,8806422006918,8806422006925,8806422007007,8806422007014,8806422007021",
